Item_Weight,Item_MRP,Item_Type,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Visibility_Class
12.3,33.4874,0,1,0,1,1
12.3,33.9874,0,1,1,1,1
12.3,33.9874,0,1,2,2,1
12.3,34.3874,0,2,0,0,4
9.8,35.0874,0,1,1,1,4
12.3,35.0874,0,2,0,1,1
7.855,35.2848,0,0,2,1,2
7.855,35.2874,0,1,2,3,1
7.855,35.6848,0,2,1,1,2
12.3,35.6874,0,2,1,1,1
9.8,35.9874,0,2,1,1,4
12.3,36.0874,0,2,1,1,1
9.8,36.1874,0,2,1,1,4
7.855,36.2848,0,1,2,2,2
9.8,36.2874,0,1,2,2,4
5.765,36.4874,0,1,2,3,4
5.765,36.7164,0,0,2,1,1
9.8,36.8874,0,1,0,1,4
9.8,36.9874,0,2,0,1,4
5.765,37.0164,0,2,1,1,1
7.855,37.0848,0,2,1,1,2
9.8,37.1874,0,0,2,1,4
5.765,37.2164,0,1,0,1,1
7.855,37.2848,0,1,0,1,2
12.3,37.2874,0,1,2,0,2
12.3,37.2874,0,0,2,1,4
12.3,37.3164,0,2,0,0,2
5.765,37.5164,0,2,0,1,1
7.855,38.1848,0,2,0,0,4
7.855,38.3848,0,2,0,1,4
5.765,38.6164,0,1,2,3,1
5.765,38.8164,0,1,1,1,1
5.765,38.8164,0,1,2,2,1
5.765,39.0848,0,1,2,3,2
7.855,39.2848,0,1,1,1,2
10.8,39.3138,0,0,2,1,4
10.8,39.4138,0,1,2,0,1
10.8,39.8138,0,1,2,3,4
6.715,40.0454,0,2,0,1,1
5.765,40.1164,0,2,1,1,1
10.8,40.2138,0,2,0,1,4
6.715,40.2454,0,0,2,1,1
10.8,40.3138,0,2,1,1,4
6.715,40.3454,0,1,1,1,1
10.8,40.6138,0,2,0,0,1
10.8,40.7138,0,1,1,1,4
10.8,41.0138,0,2,1,1,4
6.715,41.0454,0,1,2,0,0
10.8,41.5138,0,1,2,2,4
10.8,42.2138,0,1,0,1,4
6.715,43.0454,0,1,0,1,1
20.0,43.1086,0,1,2,0,4
20.0,43.3086,0,1,2,3,4
20.0,43.4086,0,1,2,2,4
20.0,43.5086,0,2,1,1,4
6.715,43.5454,0,2,1,1,1
6.715,43.6454,0,1,2,3,1
9.195,43.6744,0,1,2,2,4
20.0,43.7086,0,2,0,1,4
6.715,43.7454,0,2,1,1,1
6.715,43.8454,0,1,2,2,1
20.0,44.4086,0,1,0,1,4
9.195,44.4744,0,0,2,1,1
20.0,45.1086,0,2,1,1,4
9.195,45.2744,0,2,1,1,1
20.0,45.3086,0,1,1,1,4
20.0,45.4086,0,0,2,1,4
20.0,45.4744,0,1,2,3,1
9.195,45.6744,0,1,0,1,4
9.195,46.2744,0,2,0,1,1
9.195,46.4744,0,1,1,1,1
9.195,46.4744,0,2,1,1,1
20.0,46.6744,0,2,0,0,2
20.0,46.8034,0,1,2,3,1
19.35,47.1034,0,1,2,0,2
20.0,47.4034,0,1,2,3,4
6.8,47.5034,0,0,2,1,4
7.09,47.6034,0,2,0,1,4
7.09,47.9034,0,2,1,1,4
7.09,48.1034,0,0,2,1,4
7.09,48.3034,0,2,1,1,4
19.35,48.5034,0,1,0,1,1
10.395,48.6008,0,2,0,1,1
6.8,48.6034,0,2,1,1,4
7.09,48.6034,0,1,2,0,4
19.35,48.7034,0,2,1,1,1
19.35,48.8034,0,2,0,1,1
10.395,48.9034,0,2,0,0,4
10.395,49.0008,0,1,1,1,1
7.09,49.1034,0,1,2,2,4
9.8,49.2008,0,0,2,1,4
19.35,49.2034,0,0,2,1,1
19.35,49.2034,0,1,1,1,1
7.09,49.3034,0,1,0,1,4
6.8,49.5034,0,1,2,2,4
10.395,49.6008,0,1,0,1,4
6.8,49.6034,0,1,0,1,4
11.85,49.6666,0,2,0,1,4
6.8,49.7034,0,1,1,1,4
19.35,49.7034,0,2,1,1,1
9.8,49.8008,0,2,0,1,2
6.8,49.9034,0,2,0,1,4
9.8,50.0008,0,1,1,1,2
10.395,50.0034,0,1,2,3,4
10.395,50.1008,0,2,1,1,1
19.35,50.1034,0,1,2,2,1
9.8,50.2008,0,2,1,1,2
6.8,50.2034,0,2,1,1,4
6.8,50.4034,0,1,2,0,4
7.09,50.4034,0,1,1,1,4
9.8,50.5008,0,1,2,2,2
10.395,50.5008,0,1,2,3,2
11.85,50.5666,0,0,2,1,4
11.85,50.5666,0,2,1,1,4
9.8,50.8008,0,1,2,0,0
11.85,51.2666,0,2,1,1,4
10.395,51.4008,0,1,2,2,4
11.85,51.4666,0,1,1,1,4
11.85,51.9008,0,1,2,3,4
10.395,52.2008,0,2,1,1,1
4.88,52.2298,0,1,2,0,0
9.8,52.3008,0,2,1,1,2
10.395,52.3008,0,0,2,1,1
11.85,52.3666,0,1,2,3,4
11.85,52.4298,0,2,0,0,0
9.8,52.5008,0,1,0,1,2
9.8,52.7666,0,2,0,0,1
14.1,52.7956,0,2,1,1,1
4.88,52.9298,0,1,0,1,2
14.1,52.9956,0,0,2,1,1
11.85,53.0666,0,1,0,1,4
14.1,53.0956,0,1,0,1,1
4.88,53.1298,0,2,1,1,4
11.85,53.2666,0,1,2,2,4
4.88,53.3298,0,1,2,2,2
4.88,53.3298,0,2,0,1,1
14.1,53.3956,0,1,1,1,1
14.1,53.7956,0,1,2,2,1
4.88,54.1298,0,2,1,1,4
4.88,54.2956,0,1,2,3,1
4.88,54.3956,0,2,0,0,2
14.1,54.5956,0,2,0,1,1
4.88,54.9298,0,1,1,1,2
4.88,55.0298,0,0,2,1,1
4.88,55.8298,0,1,2,3,1
14.1,56.1956,0,2,1,1,1
15.85,58.022,0,1,1,1,1
15.85,59.222,0,0,2,1,1
15.85,59.422,0,1,2,3,1
15.85,59.522,0,1,2,2,1
15.85,59.522,0,2,0,0,0
15.85,60.222,0,2,1,1,1
15.85,60.622,0,2,0,1,1
15.85,60.722,0,1,0,1,1
15.85,61.222,0,2,1,1,1
7.22,61.251,0,1,2,0,4
15.85,61.622,0,1,2,0,0
7.22,61.851,0,2,0,1,4
7.22,61.951,0,2,1,1,4
7.22,62.351,0,1,0,1,4
7.22,62.851,0,1,2,3,4
7.22,62.951,0,1,2,2,4
7.22,63.951,0,2,1,1,4
7.22,64.1142,0,1,2,3,4
7.22,64.751,0,0,2,1,4
7.22,64.951,0,1,1,1,4
6.71,65.0142,0,1,2,2,4
6.71,65.4142,0,1,0,1,4
6.71,65.8142,0,2,0,1,4
6.71,66.1142,0,2,1,1,4
6.71,66.6142,0,1,1,1,4
6.71,67.5142,0,0,2,1,4
6.71,67.8142,0,2,1,1,4
12.3,71.338,0,2,1,1,4
12.3,71.638,0,1,2,0,4
7.445,73.2354,0,2,1,1,4
7.445,73.3354,0,1,2,2,4
7.445,73.3354,0,1,0,1,4
12.3,73.738,0,2,0,1,4
12.3,73.838,0,1,1,1,4
12.3,74.138,0,0,2,1,4
12.3,74.238,0,1,2,3,4
12.3,74.338,0,2,0,0,4
12.3,74.538,0,1,2,2,4
7.445,74.7354,0,2,1,1,4
12.3,74.838,0,2,1,1,4
12.3,74.838,0,1,0,1,4
7.445,75.5354,0,1,1,1,4
12.35,75.6328,0,1,1,1,2
14.3,75.7328,0,0,2,1,1
14.3,75.9328,0,2,0,1,1
14.3,75.9328,0,1,2,3,4
7.445,76.1354,0,1,2,0,4
12.35,76.2328,0,2,0,1,4
14.3,76.5328,0,1,0,1,1
14.3,76.7328,0,1,2,2,1
14.3,76.7354,0,1,2,3,4
7.445,76.8354,0,2,0,1,4
12.35,77.0644,0,1,2,3,4
12.35,77.1328,0,0,2,1,2
14.3,77.2328,0,2,1,1,1
7.445,77.2354,0,0,2,1,4
9.195,77.4644,0,1,2,2,4
9.195,77.8644,0,2,1,1,4
14.35,77.996,0,2,1,1,1
12.35,77.996,0,1,2,3,1
9.195,78.1644,0,1,1,1,4
12.35,78.2328,0,1,0,1,2
12.35,78.2328,0,1,2,3,1
9.195,78.2644,0,2,1,1,4
14.3,78.4328,0,2,1,1,1
12.35,78.5328,0,2,1,1,2
18.0,78.5618,0,0,2,1,4
12.35,78.6328,0,1,2,2,2
14.3,78.6328,0,1,1,1,1
12.35,78.7328,0,2,1,1,2
18.0,78.9618,0,2,0,1,4
18.0,79.0618,0,2,1,1,4
9.195,79.0644,0,1,2,0,1
14.35,79.196,0,1,1,1,1
12.35,79.2328,0,1,2,0,3
9.195,79.2644,0,1,0,1,4
14.35,79.296,0,0,2,1,1
18.0,79.3618,0,1,0,1,4
9.195,79.6644,0,2,0,1,4
9.195,79.8644,0,0,2,1,4
14.35,80.096,0,1,2,2,1
18.0,80.2618,0,1,2,2,4
9.195,80.5592,0,1,2,2,4
9.195,80.7592,0,2,1,1,4
14.35,80.996,0,2,0,1,1
14.35,80.996,0,1,0,1,1
14.35,81.0592,0,1,2,3,4
18.0,81.0618,0,1,1,1,4
15.5,81.1934,0,2,0,1,4
18.0,81.2618,0,2,1,1,4
18.0,81.3618,0,1,2,3,4
15.5,81.3934,0,2,1,1,4
9.195,81.425,0,1,2,3,4
9.195,81.5592,0,0,2,1,4
15.5,81.5934,0,1,2,0,4
9.195,81.6592,0,2,1,1,4
9.195,81.8618,0,2,0,0,4
14.35,81.896,0,2,1,1,1
9.195,81.9934,0,1,2,3,4
9.195,82.1592,0,2,0,0,4
7.975,82.325,0,2,1,1,4
7.975,82.425,0,1,0,1,4
15.5,82.7934,0,2,1,1,4
15.5,82.8934,0,0,2,1,4
7.975,83.125,0,1,1,1,4
15.5,83.1934,0,1,2,2,4
15.5,83.2934,0,1,0,1,4
9.195,83.4592,0,1,0,1,4
15.5,83.7934,0,1,1,1,4
9.195,84.1592,0,1,1,1,4
7.975,84.525,0,2,0,1,4
13.5,84.554,0,1,2,2,4
9.195,84.5592,0,2,0,1,4
13.5,84.654,0,1,0,1,4
7.975,84.725,0,1,2,2,4
7.975,85.054,0,1,2,3,4
7.975,85.125,0,2,1,1,4
13.5,85.154,0,1,1,1,4
7.975,85.225,0,0,2,1,4
13.5,85.254,0,2,1,1,4
13.5,85.554,0,2,1,1,4
9.395,85.8856,0,0,2,1,1
13.5,86.254,0,1,2,0,1
12.5,86.254,0,2,0,0,1
9.395,86.2856,0,2,1,1,1
13.5,86.454,0,2,0,1,4
12.5,86.5514,0,2,0,0,1
9.395,86.8856,0,1,1,1,1
20.85,86.9514,0,2,1,1,4
5.425,87.0514,0,1,2,0,2
20.85,87.2514,0,1,2,2,4
20.85,87.2514,0,1,0,1,4
5.425,87.3514,0,1,0,1,1
12.5,87.5514,0,1,2,3,4
12.5,87.9514,0,1,2,3,1
17.35,87.983,0,2,1,1,4
13.5,88.054,0,0,2,1,4
5.425,88.1514,0,1,2,2,1
20.85,88.1514,0,2,1,1,4
20.85,88.1514,0,2,0,1,4
17.35,88.183,0,0,2,1,4
12.5,88.183,0,1,2,3,1
15.1,88.283,0,1,2,0,1
5.425,88.3514,0,1,1,1,1
5.425,88.3514,0,2,0,1,1
12.5,88.383,0,1,2,3,4
9.395,88.3856,0,2,1,1,1
15.1,88.483,0,1,2,2,1
9.395,88.4856,0,1,2,2,1
12.5,88.6856,0,1,2,3,1
15.1,88.783,0,2,1,1,1
12.5,88.8514,0,2,0,0,0
9.395,88.8856,0,1,0,1,1
17.35,88.983,0,1,0,1,4
17.35,89.383,0,1,1,1,4
9.395,89.6856,0,2,0,1,1
15.1,89.783,0,1,0,1,1
20.85,89.9514,0,1,1,1,4
12.5,89.9804,0,2,0,0,1
13.35,90.0804,0,0,2,1,4
13.35,90.0804,0,2,1,1,4
12.5,90.0804,0,1,2,3,4
5.425,90.2514,0,2,1,1,1
20.85,90.2514,0,0,2,1,4
15.1,90.283,0,0,2,1,1
5.425,90.3514,0,0,2,1,1
5.425,90.3514,0,2,1,1,1
15.1,90.483,0,2,1,1,1
17.35,90.583,0,2,0,1,4
12.5,90.583,0,2,0,0,1
17.35,90.883,0,2,1,1,4
12.5,91.083,0,2,0,0,1
13.35,91.1804,0,1,0,1,4
8.355,91.2462,0,1,2,0,4
17.35,91.283,0,1,2,2,4
